id,userId,token,type,expires,blacklisted,createdAt
1,1,615c686d-22c3-4e89-b01c-c0194d83d780,ACCESS,2025-11-28 12:55:48.414945,0,2025-11-27 10:55:48.414945
2,1,8d4b2de7-5da7-4f67-94f5-fa5bae85c757,REFRESH,2025-12-16 06:55:48.414945,0,2025-11-26 15:55:48.414945
3,1,efde6366-dab4-43af-be1a-4c290c2e577d,VERIFY_EMAIL,2025-12-05 06:55:48.414945,0,2025-11-26 09:55:48.414945
4,2,6029fb8a-f2d9-47b4-824d-6510f6504687,ACCESS,2025-11-28 07:55:48.414945,0,2025-11-26 04:55:48.414945
5,2,dc451f79-89a6-4bc6-8b4c-17156b249ede,REFRESH,2025-12-09 06:55:48.414945,0,2025-11-27 02:55:48.414945
6,2,5dcf0869-cccf-4e1c-aab8-098557aa524d,VERIFY_EMAIL,2025-12-05 06:55:48.414945,0,2025-11-26 11:55:48.414945
7,3,e39e4a3d-8354-421a-85cc-3290f150741c,ACCESS,2025-11-28 08:55:48.414945,0,2025-11-27 09:55:48.414945
8,3,8d69b68b-4265-4239-b92a-fe7aab011f53,REFRESH,2025-12-07 06:55:48.414945,1,2025-11-28 01:55:48.414945
9,3,eed7d548-d37b-493e-acc5-b2bff248c79d,VERIFY_EMAIL,2025-12-05 06:55:48.414945,0,2025-11-27 05:55:48.414945
10,4,1c840df0-a617-4d9b-9396-a9e925fbba0b,ACCESS,2025-11-28 10:55:48.414945,0,2025-11-27 09:55:48.414945
11,4,39d5d629-2f62-44f3-b3dd-6735fb8f2089,REFRESH,2025-12-05 06:55:48.414945,0,2025-11-27 15:55:48.414945
12,4,53c47658-9ac2-4269-8fdd-9d2b65aad92c,VERIFY_EMAIL,2025-12-05 06:55:48.414945,0,2025-11-26 23:55:48.414945
13,5,07952999-3cb9-498e-af10-bf1bc0e50386,ACCESS,2025-11-28 11:55:48.414945,0,2025-11-27 12:55:48.414945
14,5,44e9209c-7c95-4f84-8c81-39e55a372b6a,REFRESH,2025-12-21 06:55:48.414945,1,2025-11-27 15:55:48.414945
15,5,203ead1a-1e84-46b6-b3f7-68262a7e49b3,VERIFY_EMAIL,2025-12-05 06:55:48.414945,0,2025-11-26 10:55:48.414945
16,6,9341d5f6-30f7-493a-97db-10a013358b08,ACCESS,2025-11-28 10:55:48.414945,0,2025-11-28 00:55:48.414945
17,6,59563875-4e02-4b22-baac-ba50b8fb9ee1,REFRESH,2025-12-27 06:55:48.414945,0,2025-11-26 18:55:48.414945
18,6,7db6a2f5-c67d-4a26-9f64-4338679ea137,VERIFY_EMAIL,2025-12-05 06:55:48.414945,0,2025-11-26 16:55:48.414945
19,7,c1866c7f-5b37-4dcc-8ed9-bd683c204853,ACCESS,2025-11-28 09:55:48.414945,0,2025-11-27 14:55:48.414945
20,7,5ac457a1-8355-4062-8844-eb6ca9531233,REFRESH,2025-12-13 06:55:48.414945,0,2025-11-27 12:55:48.414945
21,7,1a8bc081-5193-4504-bbd3-b053fc5b585c,VERIFY_EMAIL,2025-12-05 06:55:48.414945,0,2025-11-26 21:55:48.414945
22,8,4fe90271-73e0-4421-be55-b36c977271d3,ACCESS,2025-11-28 10:55:48.414945,0,2025-11-27 03:55:48.414945
